country,year,age,sex,suicides/100k pop
Albania,1987,15-24 years,male,6.71
Albania,1987,35-54 years,male,5.19
Albania,1987,15-24 years,female,4.83
Albania,1987,75+ years,male,4.59
Albania,1987,25-34 years,male,3.28
Albania,1987,75+ years,female,2.81
Albania,1987,35-54 years,female,2.15
Albania,1987,25-34 years,female,1.56
Albania,1987,55-74 years,male,0.73
Albania,1987,5-14 years,female,0.0
Albania,1987,55-74 years,female,0.0
Albania,1987,5-14 years,male,0.0
Albania,1988,75+ years,female,5.49
Albania,1988,15-24 years,male,5.33
Albania,1988,75+ years,male,4.48
Albania,1988,35-54 years,male,4.46
Albania,1988,55-74 years,male,2.85
Albania,1988,15-24 years,female,2.71
Albania,1988,55-74 years,female,2.03
Albania,1988,25-34 years,female,1.91
Albania,1988,25-34 years,male,1.79
Albania,1988,35-54 years,female,1.41
Albania,1988,5-14 years,female,0.0
Albania,1988,5-14 years,male,0.0
Albania,1989,75+ years,male,8.89
Albania,1989,25-34 years,male,6.35
Albania,1989,35-54 years,male,4.71
Albania,1989,55-74 years,male,4.22
Albania,1989,15-24 years,male,3.71
Albania,1989,35-54 years,female,2.43
Albania,1989,15-24 years,female,1.67
Albania,1989,25-34 years,female,0.75
Albania,1989,55-74 years,female,0.67
Albania,1989,5-14 years,female,0.0
Albania,1989,75+ years,female,0.0
Albania,1989,5-14 years,male,0.0
Albania,1992,35-54 years,male,3.49
Albania,1992,15-24 years,male,3.41
Albania,1992,55-74 years,male,3.13
Albania,1992,25-34 years,male,2.85
Albania,1992,15-24 years,female,2.39
Albania,1992,25-34 years,female,1.5
Albania,1992,35-54 years,female,0.62
Albania,1992,55-74 years,female,0.61
Albania,1992,5-14 years,female,0.0
Albania,1992,75+ years,female,0.0
Albania,1992,5-14 years,male,0.0
Albania,1992,75+ years,male,0.0
Albania,1993,15-24 years,male,7.4
Albania,1993,55-74 years,male,4.24
Albania,1993,75+ years,male,4.13
Albania,1993,25-34 years,male,3.91
Albania,1993,15-24 years,female,3.51
Albania,1993,35-54 years,male,2.85
Albania,1993,25-34 years,female,2.67
Albania,1993,35-54 years,female,2.11
Albania,1993,55-74 years,female,1.18
Albania,1993,5-14 years,female,0.29
Albania,1993,5-14 years,male,0.27
Albania,1993,75+ years,female,0.0
Albania,1994,75+ years,male,8.13
Albania,1994,55-74 years,male,6.42
Albania,1994,75+ years,female,5.01
Albania,1994,25-34 years,male,2.59
Albania,1994,35-54 years,male,2.48
Albania,1994,15-24 years,male,2.48
Albania,1994,15-24 years,female,2.12
Albania,1994,25-34 years,female,1.53
Albania,1994,35-54 years,female,0.58
Albania,1994,55-74 years,female,0.57
Albania,1994,5-14 years,male,0.27
Albania,1994,5-14 years,female,0.0
Albania,1995,25-34 years,male,5.58
Albania,1995,55-74 years,male,5.06
Albania,1995,75+ years,female,4.9
Albania,1995,15-24 years,female,4.59
Albania,1995,15-24 years,male,4.56
Albania,1995,75+ years,male,3.98
Albania,1995,35-54 years,male,3.72
Albania,1995,25-34 years,female,2.65
Albania,1995,35-54 years,female,2.24
Albania,1995,5-14 years,male,1.59
Albania,1995,55-74 years,female,1.11
Albania,1995,5-14 years,female,0.57
Albania,1996,75+ years,male,7.87
Albania,1996,15-24 years,male,6.98
Albania,1996,25-34 years,male,5.95
Albania,1996,15-24 years,female,5.56
Albania,1996,75+ years,female,4.85
Albania,1996,25-34 years,female,3.73
Albania,1996,35-54 years,male,3.16
Albania,1996,35-54 years,female,2.49
Albania,1996,55-74 years,male,1.67
Albania,1996,55-74 years,female,0.55
Albania,1996,5-14 years,male,0.53
Albania,1996,5-14 years,female,0.28
Albania,1997,25-34 years,male,15.25
Albania,1997,15-24 years,male,13.5
Albania,1997,75+ years,male,11.81
Albania,1997,35-54 years,male,7.88
Albania,1997,15-24 years,female,7.14
Albania,1997,55-74 years,male,6.66
Albania,1997,25-34 years,female,5.84
Albania,1997,75+ years,female,4.75
Albania,1997,35-54 years,female,1.89
Albania,1997,5-14 years,female,1.66
Albania,1997,5-14 years,male,1.05
Albania,1997,55-74 years,female,0.0
Albania,1998,75+ years,male,11.63
Albania,1998,15-24 years,male,10.85
Albania,1998,15-24 years,female,10.83
Albania,1998,25-34 years,male,10.82
Albania,1998,35-54 years,male,7.47
Albania,1998,55-74 years,male,4.9
Albania,1998,25-34 years,female,3.63
Albania,1998,55-74 years,female,3.19
Albania,1998,35-54 years,female,2.42
Albania,1998,5-14 years,male,0.51
Albania,1998,5-14 years,female,0.27
Albania,1998,75+ years,female,0.0
Albania,1999,75+ years,male,11.58
Albania,1999,15-24 years,male,9.58
Albania,1999,75+ years,female,9.43
Albania,1999,35-54 years,male,7.93
Albania,1999,25-34 years,male,7.84
Albania,1999,55-74 years,male,7.56
Albania,1999,15-24 years,female,6.4
Albania,1999,25-34 years,female,4.7
Albania,1999,55-74 years,female,3.18
Albania,1999,35-54 years,female,1.34
Albania,1999,5-14 years,female,0.27
Albania,1999,5-14 years,male,0.0
Albania,2000,25-34 years,male,7.33
Albania,2000,55-74 years,male,5.64
Albania,2000,75+ years,female,5.29
Albania,2000,75+ years,male,4.02
Albania,2000,15-24 years,female,2.27
Albania,2000,15-24 years,male,2.08
Albania,2000,35-54 years,female,1.51
Albania,2000,25-34 years,female,1.22
Albania,2000,35-54 years,male,1.07
Albania,2000,5-14 years,male,0.27
Albania,2000,5-14 years,female,0.0
Albania,2000,55-74 years,female,0.0
Albania,2001,25-34 years,male,10.65
Albania,2001,35-54 years,male,8.98
Albania,2001,55-74 years,male,5.59
Albania,2001,75+ years,female,4.23
Albania,2001,15-24 years,male,3.91
Albania,2001,15-24 years,female,3.32
Albania,2001,35-54 years,female,3.24
Albania,2001,75+ years,male,3.22
Albania,2001,55-74 years,female,3.16
Albania,2001,5-14 years,male,1.87
Albania,2001,25-34 years,female,1.8
Albania,2001,5-14 years,female,0.65
Albania,2002,75+ years,male,12.9
Albania,2002,25-34 years,male,11.15
Albania,2002,35-54 years,male,9.16
Albania,2002,55-74 years,male,6.56
Albania,2002,15-24 years,male,5.7
Albania,2002,15-24 years,female,5.07
Albania,2002,35-54 years,female,4.0
Albania,2002,25-34 years,female,3.13
Albania,2002,75+ years,female,2.11
Albania,2002,55-74 years,female,2.09
Albania,2002,5-14 years,female,0.33
Albania,2002,5-14 years,male,0.31
Albania,2003,75+ years,female,12.22
Albania,2003,55-74 years,male,7.94
Albania,2003,35-54 years,male,7.25
Albania,2003,15-24 years,male,5.49
Albania,2003,15-24 years,female,4.93
Albania,2003,55-74 years,female,4.6
Albania,2003,25-34 years,male,4.38
