data_id,country,gdp_for_year,gdp_per_capita
1,Albania,"2,15,66,24,900",796
2,Albania,"2,15,66,24,900",796
3,Albania,"2,15,66,24,900",796
4,Albania,"2,15,66,24,900",796
5,Albania,"2,15,66,24,900",796
6,Albania,"2,15,66,24,900",796
7,Albania,"2,15,66,24,900",796
8,Albania,"2,15,66,24,900",796
9,Albania,"2,15,66,24,900",796
10,Albania,"2,15,66,24,900",796
11,Albania,"2,15,66,24,900",796
12,Albania,"2,15,66,24,900",796
13,Albania,"2,12,60,00,000",769
14,Albania,"2,12,60,00,000",769
15,Albania,"2,12,60,00,000",769
16,Albania,"2,12,60,00,000",769
17,Albania,"2,12,60,00,000",769
18,Albania,"2,12,60,00,000",769
19,Albania,"2,12,60,00,000",769
20,Albania,"2,12,60,00,000",769
21,Albania,"2,12,60,00,000",769
22,Albania,"2,12,60,00,000",769
23,Albania,"2,12,60,00,000",769
24,Albania,"2,12,60,00,000",769
25,Albania,"2,33,51,24,988",833
26,Albania,"2,33,51,24,988",833
27,Albania,"2,33,51,24,988",833
28,Albania,"2,33,51,24,988",833
29,Albania,"2,33,51,24,988",833
30,Albania,"2,33,51,24,988",833
31,Albania,"2,33,51,24,988",833
32,Albania,"2,33,51,24,988",833
33,Albania,"2,33,51,24,988",833
34,Albania,"2,33,51,24,988",833
35,Albania,"2,33,51,24,988",833
36,Albania,"2,33,51,24,988",833
37,Albania,"70,94,52,584",251
38,Albania,"70,94,52,584",251
39,Albania,"70,94,52,584",251
40,Albania,"70,94,52,584",251
41,Albania,"70,94,52,584",251
42,Albania,"70,94,52,584",251
43,Albania,"70,94,52,584",251
44,Albania,"70,94,52,584",251
45,Albania,"70,94,52,584",251
46,Albania,"70,94,52,584",251
47,Albania,"70,94,52,584",251
48,Albania,"70,94,52,584",251
49,Albania,"1,22,80,71,038",437
50,Albania,"1,22,80,71,038",437
51,Albania,"1,22,80,71,038",437
52,Albania,"1,22,80,71,038",437
53,Albania,"1,22,80,71,038",437
54,Albania,"1,22,80,71,038",437
55,Albania,"1,22,80,71,038",437
56,Albania,"1,22,80,71,038",437
57,Albania,"1,22,80,71,038",437
58,Albania,"1,22,80,71,038",437
59,Albania,"1,22,80,71,038",437
60,Albania,"1,22,80,71,038",437
61,Albania,"1,98,56,73,798",697
62,Albania,"1,98,56,73,798",697
63,Albania,"1,98,56,73,798",697
64,Albania,"1,98,56,73,798",697
65,Albania,"1,98,56,73,798",697
66,Albania,"1,98,56,73,798",697
67,Albania,"1,98,56,73,798",697
68,Albania,"1,98,56,73,798",697
69,Albania,"1,98,56,73,798",697
70,Albania,"1,98,56,73,798",697
71,Albania,"1,98,56,73,798",697
72,Albania,"1,98,56,73,798",697
73,Albania,"2,42,44,99,009",835
74,Albania,"2,42,44,99,009",835
75,Albania,"2,42,44,99,009",835
76,Albania,"2,42,44,99,009",835
77,Albania,"2,42,44,99,009",835
78,Albania,"2,42,44,99,009",835
79,Albania,"2,42,44,99,009",835
80,Albania,"2,42,44,99,009",835
81,Albania,"2,42,44,99,009",835
82,Albania,"2,42,44,99,009",835
83,Albania,"2,42,44,99,009",835
84,Albania,"2,42,44,99,009",835
