country,year,female,male
Albania,1987,11.35,20.5
Albania,1988,13.55,18.91
Albania,1989,5.5200000000000005,27.88
Albania,1992,5.12,12.88
Albania,1993,9.76,22.8
Albania,1994,9.81,22.37
Albania,1995,16.06,24.49
Albania,1996,17.46,26.16
Albania,1997,21.28,56.15
Albania,1998,20.34,46.18
Albania,1999,25.32,44.49
Albania,2000,10.29,20.41
Albania,2001,16.400000000000002,34.22
Albania,2002,16.73,45.78
Albania,2003,29.2,29.4
Albania,2004,24.54,40.85
Albania,2005,0.0,0.0
Albania,2006,0.0,0.0
Albania,2007,21.86,43.99
Albania,2008,28.91,42.14
Albania,2009,0.0,0.0
Albania,2010,15.48,26.18
Antigua and Barbuda,1985,0.0,0.0
Antigua and Barbuda,1986,0.0,0.0
Antigua and Barbuda,1987,0.0,0.0
Antigua and Barbuda,1988,0.0,0.0
Antigua and Barbuda,1989,0.0,0.0
Antigua and Barbuda,1990,0.0,17.24
Antigua and Barbuda,1991,0.0,0.0
Antigua and Barbuda,1992,0.0,0.0
Antigua and Barbuda,1993,0.0,15.0
Antigua and Barbuda,1994,0.0,0.0
Antigua and Barbuda,1995,0.0,0.0
Antigua and Barbuda,1998,0.0,0.0
Antigua and Barbuda,1999,0.0,0.0
Antigua and Barbuda,2000,0.0,39.97
Antigua and Barbuda,2001,0.0,19.45
Antigua and Barbuda,2002,0.0,0.0
Antigua and Barbuda,2003,0.0,27.82
Antigua and Barbuda,2004,0.0,36.06
Antigua and Barbuda,2005,0.0,0.0
Antigua and Barbuda,2006,0.0,0.0
Antigua and Barbuda,2007,0.0,7.98
Antigua and Barbuda,2008,0.0,0.0
Antigua and Barbuda,2009,0.0,0.0
Antigua and Barbuda,2012,0.0,0.0
Antigua and Barbuda,2013,0.0,0.0
Antigua and Barbuda,2014,0.0,0.0
Antigua and Barbuda,2015,15.62,0.0
Antigua and Barbuda,2017,0.0,0.0
Antigua and Barbuda,2018,0.0,0.0
Antigua and Barbuda,2019,0.0,0.0
Antigua and Barbuda,2020,0.0,0.0
Argentina,1985,27.25,107.22
Argentina,1986,32.01,120.89
Argentina,1987,34.42,110.56
Argentina,1988,32.63,113.61
Argentina,1989,30.58,108.35
Argentina,1990,29.02,105.88
Argentina,1991,23.81,95.43
Argentina,1992,22.93,103.93
Argentina,1993,23.25,111.52
Argentina,1994,20.72,101.33
Argentina,1995,21.7,98.27
Argentina,1996,22.8,95.23
Argentina,1997,21.26,90.14
Argentina,1998,20.97,95.96
Argentina,1999,18.87,98.32
Argentina,2000,20.07,111.32
Argentina,2001,24.46,119.1
Argentina,2002,25.32,114.1
Argentina,2003,24.74,121.55
Argentina,2004,22.5,108.56
Argentina,2005,23.24,104.94
Argentina,2006,19.64,108.58
Argentina,2007,19.07,99.28
Argentina,2008,19.21,98.9
Argentina,2009,17.81,89.51
Argentina,2010,17.4,93.84
Argentina,2011,17.54,88.33
Argentina,2012,18.77,101.05
Argentina,2013,17.32,86.1
Argentina,2014,19.48,91.87
Argentina,2015,17.259999999999998,94.87
Argentina,2017,1.439443116,5.791828691
Argentina,2018,1.373203368,5.982761645
Argentina,2019,1.277295175,5.96367782
Argentina,2020,0.0,0.0
Armenia,1990,11.32,29.8
Armenia,1991,11.66,34.21
Armenia,1992,9.35,31.51
Armenia,1993,20.6,30.45
Armenia,1994,19.48,47.25
Armenia,1995,13.88,37.91
Armenia,1996,7.05,30.0
Armenia,1997,9.42,22.81
Armenia,1998,6.26,21.16
Armenia,1999,9.76,14.92
Armenia,2000,10.5,23.8
Armenia,2001,8.3,21.48
Armenia,2002,4.97,33.1
Armenia,2003,6.6,26.83
Armenia,2006,7.930000000000001,35.74
Armenia,2007,7.42,31.6
Armenia,2008,5.62,29.53
Armenia,2009,4.38,29.32
Armenia,2010,8.74,31.67
Armenia,2011,10.34,22.64
Armenia,2012,8.7,27.87
Armenia,2013,12.06,25.42
Armenia,2014,9.44,27.57
Armenia,2015,9.76,35.52
Armenia,2016,5.87,34.69
Armenia,2017,0.210384362,1.33243429
Armenia,2018,0.45830209,1.621684317
Armenia,2019,0.2127205459999999,1.524497252
Armenia,2020,0.0,0.0
Aruba,1995,0.0,308.51
Aruba,1999,0.0,115.47
Aruba,2000,146.22,159.11
Aruba,2001,0.0,27.28
Aruba,2002,0.0,126.46
Aruba,2003,0.0,12.93
Aruba,2004,15.04,161.68
Aruba,2005,52.22,47.36
Aruba,2006,10.93,85.38
Aruba,2007,11.17,81.02
Aruba,2008,5.5,35.940000000000005
Aruba,2009,0.0,42.23
Aruba,2010,9.82,48.83
Aruba,2011,25.450000000000003,67.97
Australia,1985,36.3,127.11
Australia,1986,35.379999999999995,140.41
Australia,1987,35.629999999999995,153.19
Australia,1988,36.5,142.82
Australia,1989,32.49,135.62
Australia,1990,34.02,138.33
Australia,1991,35.69,144.46
Australia,1992,35.35,135.29
Australia,1993,28.2,126.75
Australia,1994,29.09,138.66
Australia,1995,30.54,124.65
Australia,1996,29.97,145.37
Australia,1997,36.52,150.41
Australia,1998,34.2,142.21
Australia,1999,29.6,137.54999999999998
Australia,2000,31.34,126.48
Australia,2001,31.53,127.26
Australia,2002,30.1,114.58
Australia,2003,26.98,106.86
Australia,2004,26.43,107.33
Australia,2006,28.67,99.22
Australia,2007,28.73,101.52
Australia,2008,26.2,104.29
Australia,2009,29.52,100.6
Australia,2010,29.07,103.57
Australia,2011,30.64,102.58
Australia,2012,34.01,105.56
Australia,2013,33.08,105.7
Australia,2014,34.88,114.19
Australia,2015,35.94,118.24
Australia,2017,3.403241138,9.977961473
