country,year,female_suicides,male_suicides
Albania,1987,11.35,20.5
Albania,1988,13.55,18.91
Albania,1989,5.52,27.88
Albania,1992,5.12,12.88
Albania,1993,9.76,22.8
Albania,1994,9.81,22.37
Albania,1995,16.06,24.49
Albania,1996,17.46,26.16
Albania,1997,21.28,56.15
Albania,1998,20.34,46.18
Albania,1999,25.32,44.49
Albania,2000,10.29,20.41
Albania,2001,16.4,34.22
Albania,2002,16.73,45.78
Albania,2003,29.2,29.4
Albania,2004,24.54,40.85
Albania,2007,21.86,43.99
Albania,2008,28.91,42.14
Albania,2010,15.48,26.18
Argentina,1985,27.25,107.22
Argentina,1986,32.01,120.89
Argentina,1987,34.42,110.56
Argentina,1988,32.63,113.61
Argentina,1989,30.58,108.35
Argentina,1990,29.02,105.88
Argentina,1991,23.81,95.43
Argentina,1992,22.93,103.93
Argentina,1993,23.25,111.52
Argentina,1994,20.72,101.33
Argentina,1995,21.7,98.27
Argentina,1996,22.8,95.23
Argentina,1997,21.26,90.14
Argentina,1998,20.97,95.96
Argentina,1999,18.87,98.32
Argentina,2000,20.07,111.32
Argentina,2001,24.46,119.1
Argentina,2002,25.32,114.1
Argentina,2003,24.74,121.55
Argentina,2004,22.5,108.56
Argentina,2005,23.24,104.94
Argentina,2006,19.64,108.58
Argentina,2007,19.07,99.28
Argentina,2008,19.21,98.9
Argentina,2009,17.81,89.51
Argentina,2010,17.4,93.84
Argentina,2011,17.54,88.33
Argentina,2012,18.77,101.05
Argentina,2013,17.32,86.1
Argentina,2014,19.48,91.87
Argentina,2015,17.26,94.87
Argentina,2017,1.44,5.79
Argentina,2018,1.37,5.98
Argentina,2019,1.28,5.96
Armenia,1990,11.32,29.8
Armenia,1991,11.66,34.21
Armenia,1992,9.35,31.51
Armenia,1993,20.6,30.45
Armenia,1994,19.48,47.25
Armenia,1995,13.88,37.91
Armenia,1996,7.05,30
Armenia,1997,9.42,22.81
Armenia,1998,6.26,21.16
Armenia,1999,9.76,14.92
Armenia,2000,10.5,23.8
Armenia,2001,8.3,21.48
Armenia,2002,4.97,33.1
Armenia,2003,6.6,26.83
Armenia,2006,7.93,35.74
Armenia,2007,7.42,31.6
Armenia,2008,5.62,29.53
Armenia,2009,4.38,29.32
Armenia,2010,8.74,31.67
Armenia,2011,10.34,22.64
Armenia,2012,8.7,27.87
Armenia,2013,12.06,25.42
Armenia,2014,9.44,27.57
Armenia,2015,9.76,35.52
Armenia,2016,5.87,34.69
Armenia,2017,0.21,1.33
Armenia,2018,0.46,1.62
Armenia,2019,0.21,1.52
Aruba,2000,146.22,159.11
Aruba,2004,15.04,161.68
Aruba,2005,52.22,47.36
Aruba,2006,10.93,85.38
Aruba,2007,11.17,81.02
Aruba,2008,5.5,35.94
Aruba,2010,9.82,48.83
Aruba,2011,25.45,67.97
Australia,1985,36.3,127.11
Australia,1986,35.38,140.41
Australia,1987,35.63,153.19
Australia,1988,36.5,142.82
Australia,1989,32.49,135.62
Australia,1990,34.02,138.33
Australia,1991,35.69,144.46
Australia,1992,35.35,135.29
Australia,1993,28.2,126.75
Australia,1994,29.09,138.66
Australia,1995,30.54,124.65
Australia,1996,29.97,145.37
Australia,1997,36.52,150.41
Australia,1998,34.2,142.21
Australia,1999,29.6,137.55
Australia,2000,31.34,126.48
Australia,2001,31.53,127.26
Australia,2002,30.1,114.58
Australia,2003,26.98,106.86
Australia,2004,26.43,107.33
Australia,2006,28.67,99.22
Australia,2007,28.73,101.52
Australia,2008,26.2,104.29
Australia,2009,29.52,100.6
Australia,2010,29.07,103.57
Australia,2011,30.64,102.58
Australia,2012,34.01,105.56
Australia,2013,33.08,105.7
Australia,2014,34.88,114.19
Australia,2015,35.94,118.24
Australia,2017,3.4,9.98
Australia,2018,3.04,9.74
Australia,2019,3.22,9.87
Australia,2020,2.94,9.29
Austria,1985,96.99,287.82
Austria,1986,98.65,303.15
Austria,1987,99.23,306.65
Austria,1988,83.41,274.23
Austria,1989,94.37,264.95
Austria,1990,87.31,266.47
Austria,1991,73.36,282.11
Austria,1992,74.04,267.7
Austria,1993,71.73,276.23
Austria,1994,76.36,267.26
Austria,1995,71.34,276.75
Austria,1996,70.1,272.55
Austria,1997,62.63,234.87
Austria,1998,57.73,231.65
Austria,1999,65.94,214.36
Austria,2000,63.94,225.83
Austria,2001,60,201.91
Austria,2002,51.88,225.04
Austria,2003,55.62,201.44
Austria,2004,49.09,204.95
Austria,2005,49.84,185.41
Austria,2006,43.12,175.78
Austria,2007,45.48,171.83
Austria,2008,41.98,174.47
Austria,2009,41.69,171.53
Austria,2010,39.71,167.84
Austria,2011,41.92,169.57
Austria,2012,39.84,166.79
Austria,2013,43.49,168.63
Austria,2014,44.12,165.7
Austria,2015,39.14,155.48
Austria,2016,37.6,145.63
Austria,2017,2.96,10.96
Austria,2018,2.93,10.75
Austria,2019,2.76,9.77
Austria,2020,2.62,9.4
Azerbaijan,1990,6.14,18.47
Azerbaijan,1991,6.15,26.08
Azerbaijan,1992,10.99,23.79
Azerbaijan,1993,9.35,22.17
Azerbaijan,1994,4.05,7.99
Azerbaijan,1995,1.9,12.38
Azerbaijan,1996,4.77,13.06
Azerbaijan,1997,3.24,15.35
Azerbaijan,1998,4.08,6.59
Azerbaijan,1999,1.48,7.1
Azerbaijan,2000,4.48,9.93
Azerbaijan,2001,18.66,41.39
Azerbaijan,2002,3.82,15.6
Azerbaijan,2003,8.6,18.47
Azerbaijan,2004,8.32,10.01
Azerbaijan,2007,2.32,9.51
Bahamas,1993,8.4,29.11
