country,year,age,data_id,sex,suicides_no,population,suicides/100k pop,generation,gdp_for_year,gdp_per_capita
Albania,1987,15-24 years,1,male,21,312900,6.71,Generation X,"2,15,66,24,900",796
Albania,1987,25-34 years,5,male,9,274300,3.28,Boomers,"2,15,66,24,900",796
Albania,1987,35-54 years,2,male,16,308000,5.19,Silent,"2,15,66,24,900",796
Albania,1987,55-74 years,9,male,1,137500,0.73,G.I. Generation,"2,15,66,24,900",796
Albania,1987,75+ years,4,male,1,21800,4.59,G.I. Generation,"2,15,66,24,900",796
Albania,1988,15-24 years,14,male,17,319200,5.33,Generation X,"2,12,60,00,000",769
Albania,1988,25-34 years,20,female,5,262400,1.91,Boomers,"2,12,60,00,000",769
Albania,1988,35-54 years,22,female,4,284500,1.41,Silent,"2,12,60,00,000",769
Albania,1988,55-74 years,17,male,4,140200,2.85,G.I. Generation,"2,12,60,00,000",769
Albania,1988,75+ years,13,female,2,36400,5.49,G.I. Generation,"2,12,60,00,000",769
Albania,1989,15-24 years,31,female,5,299900,1.67,Generation X,"2,33,51,24,988",833
Albania,1989,25-34 years,32,female,2,266300,0.75,Boomers,"2,33,51,24,988",833
Albania,1989,35-54 years,30,female,7,288600,2.43,Silent,"2,33,51,24,988",833
Albania,1989,55-74 years,33,female,1,149600,0.67,G.I. Generation,"2,33,51,24,988",833
Albania,1989,75+ years,25,male,2,22500,8.89,G.I. Generation,"2,33,51,24,988",833
Albania,1992,15-24 years,38,male,9,263700,3.41,Generation X,"70,94,52,584",251
Albania,1992,25-34 years,40,male,7,245500,2.85,Boomers,"70,94,52,584",251
Albania,1992,35-54 years,37,male,12,343800,3.49,Boomers,"70,94,52,584",251
Albania,1992,55-74 years,39,male,5,159500,3.13,Silent,"70,94,52,584",251
Albania,1993,15-24 years,49,male,18,243300,7.4,Generation X,"1,22,80,71,038",437
Albania,1993,25-34 years,52,male,9,230100,3.91,Boomers,"1,22,80,71,038",437
Albania,1993,35-54 years,54,male,10,350300,2.85,Boomers,"1,22,80,71,038",437
Albania,1993,5-14 years,58,female,1,340300,0.29,Millenials,"1,22,80,71,038",437
Albania,1993,55-74 years,50,male,7,165000,4.24,Silent,"1,22,80,71,038",437
Albania,1993,75+ years,51,male,1,24200,4.13,G.I. Generation,"1,22,80,71,038",437
Albania,1994,15-24 years,66,male,6,242200,2.48,Generation X,"1,98,56,73,798",697
Albania,1994,25-34 years,64,male,6,231400,2.59,Boomers,"1,98,56,73,798",697
Albania,1994,35-54 years,65,male,9,362800,2.48,Boomers,"1,98,56,73,798",697
Albania,1994,5-14 years,71,male,1,371800,0.27,Millenials,"1,98,56,73,798",697
Albania,1994,55-74 years,62,male,11,171400,6.42,Silent,"1,98,56,73,798",697
Albania,1994,75+ years,61,male,2,24600,8.13,G.I. Generation,"1,98,56,73,798",697
Albania,1995,15-24 years,77,male,11,241200,4.56,Generation X,"2,42,44,99,009",835
Albania,1995,25-34 years,73,male,13,232900,5.58,Generation X,"2,42,44,99,009",835
Albania,1995,35-54 years,81,female,8,356400,2.24,Boomers,"2,42,44,99,009",835
Albania,1995,5-14 years,82,male,6,376500,1.59,Millenials,"2,42,44,99,009",835
Albania,1995,55-74 years,74,male,9,178000,5.06,Silent,"2,42,44,99,009",835
Albania,1995,75+ years,75,female,2,40800,4.9,G.I. Generation,"2,42,44,99,009",835
Albania,1996,15-24 years,86,male,17,243600,6.98,Generation X,"3,31,48,98,292",1127
Albania,1996,25-34 years,90,female,10,267900,3.73,Generation X,"3,31,48,98,292",1127
Albania,1996,35-54 years,92,female,9,362000,2.49,Boomers,"3,31,48,98,292",1127
Albania,1996,5-14 years,95,male,2,380400,0.53,Millenials,"3,31,48,98,292",1127
Albania,1996,55-74 years,93,male,3,179900,1.67,Silent,"3,31,48,98,292",1127
Albania,1996,75+ years,85,male,2,25400,7.87,G.I. Generation,"3,31,48,98,292",1127
Albania,1997,15-24 years,98,male,33,244400,13.5,Generation X,"2,35,99,03,108",793
Albania,1997,25-34 years,97,male,36,236000,15.25,Generation X,"2,35,99,03,108",793
Albania,1997,35-54 years,100,male,30,380800,7.88,Boomers,"2,35,99,03,108",793
Albania,1997,5-14 years,106,female,6,361800,1.66,Millenials,"2,35,99,03,108",793
Albania,1997,55-74 years,102,male,12,180300,6.66,Silent,"2,35,99,03,108",793
Albania,1997,75+ years,99,male,3,25400,11.81,G.I. Generation,"2,35,99,03,108",793
Albania,1998,15-24 years,110,male,27,248800,10.85,Generation X,"2,70,71,23,772",899
Albania,1998,25-34 years,112,male,26,240400,10.82,Generation X,"2,70,71,23,772",899
Albania,1998,35-54 years,117,female,9,372100,2.42,Boomers,"2,70,71,23,772",899
Albania,1998,5-14 years,119,female,1,363800,0.27,Millenials,"2,70,71,23,772",899
Albania,1998,55-74 years,114,male,9,183800,4.9,Silent,"2,70,71,23,772",899
Albania,1998,75+ years,109,male,3,25800,11.63,G.I. Generation,"2,70,71,23,772",899
Albania,1999,15-24 years,127,female,19,296800,6.4,Generation X,"3,41,47,60,915",1127
Albania,1999,25-34 years,125,male,19,242300,7.84,Generation X,"3,41,47,60,915",1127
Albania,1999,35-54 years,124,male,31,391100,7.93,Boomers,"3,41,47,60,915",1127
Albania,1999,5-14 years,131,female,1,365200,0.27,Millenials,"3,41,47,60,915",1127
Albania,1999,55-74 years,126,male,14,185200,7.56,Silent,"3,41,47,60,915",1127
Albania,1999,75+ years,123,female,4,42400,9.43,G.I. Generation,"3,41,47,60,915",1127
Albania,2000,15-24 years,137,female,6,263900,2.27,Generation X,"3,63,20,43,908",1299
Albania,2000,25-34 years,133,male,17,232000,7.33,Generation X,"3,63,20,43,908",1299
Albania,2000,35-54 years,139,female,5,332200,1.51,Boomers,"3,63,20,43,908",1299
Albania,2000,5-14 years,142,male,1,374900,0.27,Millenials,"3,63,20,43,908",1299
Albania,2000,55-74 years,134,male,10,177400,5.64,Silent,"3,63,20,43,908",1299
Albania,2000,75+ years,136,male,1,24900,4.02,G.I. Generation,"3,63,20,43,908",1299
Albania,2001,15-24 years,150,female,9,271359,3.32,Millenials,"4,06,07,58,804",1451
Albania,2001,25-34 years,155,female,4,222771,1.8,Generation X,"4,06,07,58,804",1451
Albania,2001,35-54 years,151,female,12,370191,3.24,Boomers,"4,06,07,58,804",1451
Albania,2001,5-14 years,154,male,6,321556,1.87,Millenials,"4,06,07,58,804",1451
Albania,2001,55-74 years,153,female,6,189799,3.16,Silent,"4,06,07,58,804",1451
Albania,2001,75+ years,152,male,1,31044,3.22,Silent,"4,06,07,58,804",1451
Albania,2002,15-24 years,161,male,15,263067,5.7,Millenials,"4,43,50,78,648",1573
Albania,2002,25-34 years,158,male,23,206286,11.15,Generation X,"4,43,50,78,648",1573
Albania,2002,35-54 years,159,male,35,382139,9.16,Boomers,"4,43,50,78,648",1573
Albania,2002,5-14 years,167,female,1,304850,0.33,Millenials,"4,43,50,78,648",1573
Albania,2002,55-74 years,160,male,13,198130,6.56,Silent,"4,43,50,78,648",1573
Albania,2002,75+ years,157,male,4,31007,12.9,Silent,"4,43,50,78,648",1573
Albania,2003,15-24 years,172,male,15,273235,5.49,Millenials,"5,74,69,45,913",2021
Albania,2003,25-34 years,175,male,9,205433,4.38,Generation X,"5,74,69,45,913",2021
Albania,2003,35-54 years,171,male,28,386196,7.25,Boomers,"5,74,69,45,913",2021
Albania,2003,5-14 years,179,male,4,313204,1.28,Millenials,"5,74,69,45,913",2021
Albania,2003,55-74 years,170,male,16,201520,7.94,Silent,"5,74,69,45,913",2021
Albania,2003,75+ years,169,female,6,49088,12.22,Silent,"5,74,69,45,913",2021
Albania,2004,15-24 years,184,female,20,292268,6.84,Millenials,"7,31,48,65,176",2544
Albania,2004,25-34 years,183,male,16,203938,7.85,Generation X,"7,31,48,65,176",2544
Albania,2004,35-54 years,182,male,39,391767,9.95,Boomers,"7,31,48,65,176",2544
Albania,2004,5-14 years,191,female,3,286705,1.05,Millenials,"7,31,48,65,176",2544
Albania,2004,55-74 years,188,male,10,207202,4.83,Silent,"7,31,48,65,176",2544
Albania,2004,75+ years,181,male,4,35526,11.26,Silent,"7,31,48,65,176",2544
Albania,2007,15-24 years,222,female,13,281080,4.63,Millenials,"10,70,10,11,897",3863
Albania,2007,25-34 years,221,male,9,172494,5.22,Generation X,"10,70,10,11,897",3863
Albania,2007,35-54 years,226,female,14,391811,3.57,Boomers,"10,70,10,11,897",3863
Albania,2007,5-14 years,227,male,4,272497,1.47,Generation Z,"10,70,10,11,897",3863
Albania,2007,55-74 years,225,female,9,221120,4.07,Silent,"10,70,10,11,897",3863
Albania,2007,75+ years,217,male,8,42366,18.88,Silent,"10,70,10,11,897",3863
Albania,2008,15-24 years,233,female,20,276073,7.24,Millenials,"12,88,13,52,688",4672
Albania,2008,25-34 years,234,female,9,182663,4.93,Generation X,"12,88,13,52,688",4672
Albania,2008,35-54 years,230,male,37,377119,9.81,Boomers,"12,88,13,52,688",4672
Albania,2008,5-14 years,239,male,7,262464,2.67,Generation Z,"12,88,13,52,688",4672
Albania,2008,55-74 years,231,male,21,228672,9.18,Silent,"12,88,13,52,688",4672
Albania,2008,75+ years,232,female,5,59369,8.42,Silent,"12,88,13,52,688",4672
Albania,2010,15-24 years,257,male,10,279508,3.58,Millenials,"11,92,69,53,259",4359
Albania,2010,25-34 years,255,male,9,179720,5.01,Generation X,"11,92,69,53,259",4359
Albania,2010,35-54 years,254,male,20,371611,5.38,Generation X,"11,92,69,53,259",4359
Albania,2010,5-14 years,263,female,2,223969,0.89,Generation Z,"11,92,69,53,259",4359
Albania,2010,55-74 years,261,female,7,241491,2.9,Silent,"11,92,69,53,259",4359
Albania,2010,75+ years,256,male,2,50767,3.94,Silent,"11,92,69,53,259",4359
Antigua and Barbuda,1990,35-54 years,325,male,1,5799,17.24,Silent,"45,94,69,074",7744
Antigua and Barbuda,1993,25-34 years,361,male,1,6668,15,Boomers,"53,51,72,778",8453
Antigua and Barbuda,2000,35-54 years,422,male,1,10033,9.97,Boomers,"83,01,58,778",11021
Antigua and Barbuda,2000,55-74 years,421,male,1,3333,30,Silent,"83,01,58,778",11021
Antigua and Barbuda,2001,35-54 years,433,male,2,10281,19.45,Boomers,"80,07,40,259",10468
Antigua and Barbuda,2003,55-74 years,457,male,1,3594,27.82,Silent,"85,56,43,111",10878
Antigua and Barbuda,2004,35-54 years,470,male,1,11406,8.77,Boomers,"91,95,77,148",11535
Antigua and Barbuda,2004,55-74 years,469,male,1,3665,27.29,Silent,"91,95,77,148",11535
Antigua and Barbuda,2007,35-54 years,505,male,1,12530,7.98,Boomers,"1,31,14,01,333",15775
Antigua and Barbuda,2015,55-74 years,577,female,1,6403,15.62,Boomers,"1,36,48,63,037",14853
Argentina,1985,15-24 years,595,male,156,2415200,6.46,Generation X,"88,41,66,68,900",3264
Argentina,1985,25-34 years,593,male,177,2234200,7.92,Boomers,"88,41,66,68,900",3264
Argentina,1985,35-54 years,591,male,414,3346300,12.37,Silent,"88,41,66,68,900",3264
Argentina,1985,5-14 years,600,female,11,2955200,0.37,Generation X,"88,41,66,68,900",3264
Argentina,1985,55-74 years,590,male,485,1997000,24.29,G.I. Generation,"88,41,66,68,900",3264
Argentina,1985,75+ years,589,male,202,363000,55.65,G.I. Generation,"88,41,66,68,900",3264
Argentina,1986,15-24 years,607,male,186,2428900,7.66,Generation X,"1,10,93,44,42,763",4072
Argentina,1986,25-34 years,604,male,209,2246900,9.3,Boomers,"1,10,93,44,42,763",4072
Argentina,1986,35-54 years,608,female,188,3374300,5.57,Silent,"1,10,93,44,42,763",4072
Argentina,1986,5-14 years,611,male,10,3061400,0.33,Generation X,"1,10,93,44,42,763",4072
Argentina,1986,55-74 years,606,female,201,2317100,8.67,G.I. Generation,"1,10,93,44,42,763",4072
Argentina,1986,75+ years,605,female,48,540200,8.89,G.I. Generation,"1,10,93,44,42,763",4072
Argentina,1987,15-24 years,619,male,179,2460600,7.27,Generation X,"1,11,10,61,91,358",4026
Argentina,1987,25-34 years,618,male,192,2276200,8.44,Boomers,"1,11,10,61,91,358",4026
Argentina,1987,35-54 years,620,female,209,3418300,6.11,Silent,"1,11,10,61,91,358",4026
Argentina,1987,5-14 years,623,male,15,3101300,0.48,Generation X,"1,11,10,61,91,358",4026
Argentina,1987,55-74 years,614,male,532,2034500,26.15,G.I. Generation,"1,11,10,61,91,358",4026
Argentina,1987,75+ years,613,male,200,369800,54.08,G.I. Generation,"1,11,10,61,91,358",4026
Argentina,1988,15-24 years,633,female,101,2459000,4.11,Generation X,"1,26,20,68,17,196",4458
Argentina,1988,25-34 years,634,female,61,2228000,2.74,Boomers,"1,26,20,68,17,196",4458
Argentina,1988,35-54 years,632,female,198,3508000,5.64,Silent,"1,26,20,68,17,196",4458
Argentina,1988,5-14 years,636,female,11,3115000,0.35,Generation X,"1,26,20,68,17,196",4458
Argentina,1988,55-74 years,629,female,233,2412000,9.66,G.I. Generation,"1,26,20,68,17,196",4458
Argentina,1988,75+ years,628,female,61,602000,10.13,G.I. Generation,"1,26,20,68,17,196",4458
Argentina,1989,15-24 years,646,female,80,2509000,3.19,Generation X,"76,63,68,98,036",2670
Argentina,1989,25-34 years,645,female,83,2240000,3.71,Boomers,"76,63,68,98,036",2670
Argentina,1989,35-54 years,644,female,166,3563000,4.66,Silent,"76,63,68,98,036",2670
Argentina,1989,5-14 years,648,female,11,3149000,0.35,Generation X,"76,63,68,98,036",2670
Argentina,1989,55-74 years,642,female,201,2446000,8.22,G.I. Generation,"76,63,68,98,036",2670
Argentina,1989,75+ years,640,female,65,622000,10.45,G.I. Generation,"76,63,68,98,036",2670
Argentina,1990,15-24 years,657,female,91,2568000,3.54,Generation X,"1,41,35,23,68,715",4859
Argentina,1990,25-34 years,658,female,76,2251000,3.38,Boomers,"1,41,35,23,68,715",4859
Argentina,1990,35-54 years,656,female,163,3622000,4.5,Silent,"1,41,35,23,68,715",4859
Argentina,1990,5-14 years,660,female,14,3171000,0.44,Generation X,"1,41,35,23,68,715",4859
Argentina,1990,55-74 years,654,female,190,2477000,7.67,G.I. Generation,"1,41,35,23,68,715",4859
Argentina,1990,75+ years,652,female,61,643000,9.49,G.I. Generation,"1,41,35,23,68,715",4859
Argentina,1991,15-24 years,670,female,61,2689000,2.27,Generation X,"1,89,71,99,84,268",6404
Argentina,1991,25-34 years,664,male,214,2277000,9.4,Boomers,"1,89,71,99,84,268",6404
Argentina,1991,35-54 years,663,male,398,3580000,11.12,Boomers,"1,89,71,99,84,268",6404
Argentina,1991,5-14 years,672,female,9,3277000,0.27,Millenials,"1,89,71,99,84,268",6404
Argentina,1991,55-74 years,662,male,449,2130000,21.08,Silent,"1,89,71,99,84,268",6404
Argentina,1991,75+ years,661,male,184,396000,46.46,G.I. Generation,"1,89,71,99,84,268",6404
Argentina,1992,15-24 years,682,female,79,2783500,2.84,Generation X,"2,28,78,86,17,202",7615
Argentina,1992,25-34 years,681,female,79,2329100,3.39,Boomers,"2,28,78,86,17,202",7615
Argentina,1992,35-54 years,680,female,140,3755500,3.73,Boomers,"2,28,78,86,17,202",7615
Argentina,1992,5-14 years,684,female,13,3276800,0.4,Millenials,"2,28,78,86,17,202",7615
Argentina,1992,55-74 years,679,female,147,2538400,5.79,Silent,"2,28,78,86,17,202",7615
Argentina,1992,75+ years,678,female,46,678000,6.78,G.I. Generation,"2,28,78,86,17,202",7615
Argentina,1993,15-24 years,690,male,235,2932300,8.01,Generation X,"2,36,74,17,15,015",7768
Argentina,1993,25-34 years,688,male,233,2336300,9.97,Boomers,"2,36,74,17,15,015",7768
Argentina,1993,35-54 years,687,male,495,3672300,13.48,Boomers,"2,36,74,17,15,015",7768
Argentina,1993,5-14 years,696,female,16,3269800,0.49,Millenials,"2,36,74,17,15,015",7768
Argentina,1993,55-74 years,686,male,520,2171500,23.95,Silent,"2,36,74,17,15,015",7768
Argentina,1993,75+ years,685,male,229,413600,55.37,G.I. Generation,"2,36,74,17,15,015",7768
Argentina,1994,15-24 years,701,male,250,3027200,8.26,Generation X,"2,57,44,00,00,000",8328
Argentina,1994,25-34 years,706,female,72,2369900,3.04,Boomers,"2,57,44,00,00,000",8328
Argentina,1994,35-54 years,704,female,160,3885600,4.12,Boomers,"2,57,44,00,00,000",8328
Argentina,1994,5-14 years,708,female,11,3262900,0.34,Millenials,"2,57,44,00,00,000",8328
Argentina,1994,55-74 years,702,female,135,2597400,5.2,Silent,"2,57,44,00,00,000",8328
Argentina,1994,75+ years,697,male,192,423100,45.38,G.I. Generation,"2,57,44,00,00,000",8328
Argentina,1995,15-24 years,717,female,101,3053300,3.31,Generation X,"2,58,03,17,50,000",8232
Argentina,1995,25-34 years,712,male,218,2404900,9.06,Generation X,"2,58,03,17,50,000",8232
Argentina,1995,35-54 years,716,female,139,3950100,3.52,Boomers,"2,58,03,17,50,000",8232
Argentina,1995,5-14 years,719,female,19,3261100,0.58,Millenials,"2,58,03,17,50,000",8232
Argentina,1995,55-74 years,715,female,134,2625900,5.1,Silent,"2,58,03,17,50,000",8232
Argentina,1995,75+ years,714,female,49,742200,6.6,G.I. Generation,"2,58,03,17,50,000",8232
Argentina,1996,15-24 years,725,male,280,3185600,8.79,Generation X,"2,72,14,97,50,000",8563
Argentina,1996,25-34 years,730,female,52,2428400,2.14,Generation X,"2,72,14,97,50,000",8563
Argentina,1996,35-54 years,728,female,176,4014100,4.38,Boomers,"2,72,14,97,50,000",8563
Argentina,1996,5-14 years,732,female,9,3266800,0.28,Millenials,"2,72,14,97,50,000",8563
Argentina,1996,55-74 years,727,female,131,2653800,4.94,Silent,"2,72,14,97,50,000",8563
Argentina,1996,75+ years,726,female,59,766100,7.7,G.I. Generation,"2,72,14,97,50,000",8563
Argentina,1997,15-24 years,741,female,113,3161000,3.57,Generation X,"2,92,85,90,00,000",9057
Argentina,1997,25-34 years,742,female,72,2474330,2.91,Generation X,"2,92,85,90,00,000",9057
Argentina,1997,35-54 years,740,female,165,4083427,4.04,Boomers,"2,92,85,90,00,000",9057
Argentina,1997,5-14 years,744,female,11,3327355,0.33,Millenials,"2,92,85,90,00,000",9057
Argentina,1997,55-74 years,739,female,131,2668528,4.91,Silent,"2,92,85,90,00,000",9057
Argentina,1997,75+ years,733,male,195,490152,39.78,G.I. Generation,"2,92,85,90,00,000",9057
Argentina,1998,15-24 years,752,female,114,3200362,3.56,Generation X,"2,98,94,82,50,000",9126
Argentina,1998,25-34 years,754,female,52,2512005,2.07,Generation X,"2,98,94,82,50,000",9126
Argentina,1998,35-54 years,753,female,147,4143203,3.55,Boomers,"2,98,94,82,50,000",9126
Argentina,1998,5-14 years,756,male,16,3456965,0.46,Millenials,"2,98,94,82,50,000",9126
Argentina,1998,55-74 years,751,female,140,2696429,5.19,Silent,"2,98,94,82,50,000",9126
