country,year,suicides/100k pop,gdp_per_capita
Albania,1987,20.5,796.0
Albania,1988,16.990000000000002,769.0
Albania,1989,14.41,833.0
Albania,1992,12.88,251.0
Albania,1993,22.82,437.0
Albania,1994,22.37,697.0
Albania,1995,23.93,835.0
Albania,1996,23.27,1127.0
Albania,1997,56.760000000000005,793.0
Albania,1998,40.89,899.0
Albania,1999,39.43,1127.0
Albania,2000,21.04,1299.0
Albania,2001,16.61,1451.0
Albania,2002,45.8,1573.0
Albania,2003,38.56,2021.0
Albania,2004,41.78,2544.0
Albania,2007,37.84,3863.0
Albania,2008,42.25,4672.0
Albania,2010,21.7,4359.0
Antigua and Barbuda,1990,17.24,7744.0
Antigua and Barbuda,1993,15.0,8453.0
Antigua and Barbuda,2000,39.97,11021.0
Antigua and Barbuda,2001,19.45,10468.0
Antigua and Barbuda,2003,27.82,10878.0
Antigua and Barbuda,2004,36.06,11535.0
Antigua and Barbuda,2007,7.98,15775.0
Antigua and Barbuda,2015,15.62,14853.0
Argentina,1985,107.06,3264.0
Argentina,1986,40.42,4072.0
Argentina,1987,102.53,4026.0
Argentina,1988,32.63,4458.0
Argentina,1989,30.58,2670.0
Argentina,1990,29.02,4859.0
Argentina,1991,90.6,6404.0
Argentina,1992,22.93,7615.0
Argentina,1993,111.27,7768.0
Argentina,1994,66.34,8328.0
Argentina,1995,28.17,8232.0
Argentina,1996,28.23,8563.0
Argentina,1997,55.54,9057.0
Argentina,1998,20.83,9126.0
Argentina,1999,35.04,8546.0
Argentina,2000,20.07,8462.0
Argentina,2001,24.58,7900.0
Argentina,2002,44.730000000000004,2840.0
Argentina,2003,25.060000000000002,3668.0
Argentina,2004,86.43,4683.0
Argentina,2005,23.240000000000002,5590.0
Argentina,2006,19.64,6475.0
Argentina,2007,19.07,7918.0
Argentina,2008,89.14999999999999,9843.0
Argentina,2009,30.619999999999997,8961.0
Argentina,2010,93.5,11273.0
Argentina,2011,17.48,13946.0
Argentina,2012,85.37,14203.0
