data_id,country,year,sex,age,suicides_no,population,suicides/100k pop,generation,gdp_for_year,gdp_per_capita
11675,Iceland,1985,male,15-24 years,7,21900,31.96,Generation X,"2,93,98,45,038",13357.0
5266,Chile,1985,male,55-74 years,100,538000,18.59,G.I. Generation,"17,70,28,85,394",1658.0
5265,Chile,1985,male,75+ years,34,87600,38.81,G.I. Generation,"17,70,28,85,394",1658.0
4928,Canada,1985,female,5-14 years,5,1751000,0.29,Generation X,"3,64,75,64,99,451",15522.0
4927,Canada,1985,male,5-14 years,13,1844400,0.7,Generation X,"3,64,75,64,99,451",15522.0
4926,Canada,1985,female,15-24 years,85,2143200,3.97,Generation X,"3,64,75,64,99,451",15522.0
4925,Canada,1985,female,75+ years,34,642900,5.29,G.I. Generation,"3,64,75,64,99,451",15522.0
4924,Canada,1985,female,25-34 years,148,2257500,6.56,Boomers,"3,64,75,64,99,451",15522.0
16192,Mauritius,1985,male,5-14 years,1,104700,0.96,Generation X,"1,08,06,42,033",1223.0
16191,Mauritius,1985,female,35-54 years,6,90500,6.63,Silent,"1,08,06,42,033",1223.0
16190,Mauritius,1985,female,25-34 years,6,87200,6.88,Boomers,"1,08,06,42,033",1223.0
16189,Mauritius,1985,female,55-74 years,4,47900,8.35,G.I. Generation,"1,08,06,42,033",1223.0
16188,Mauritius,1985,female,15-24 years,18,106300,16.93,Generation X,"1,08,06,42,033",1223.0
16187,Mauritius,1985,male,15-24 years,21,109400,19.2,Generation X,"1,08,06,42,033",1223.0
16186,Mauritius,1985,male,55-74 years,9,45300,19.87,G.I. Generation,"1,08,06,42,033",1223.0
16185,Mauritius,1985,male,35-54 years,18,89500,20.11,Silent,"1,08,06,42,033",1223.0
16184,Mauritius,1985,male,25-34 years,19,88500,21.47,Boomers,"1,08,06,42,033",1223.0
16183,Mauritius,1985,female,75+ years,2,8800,22.73,G.I. Generation,"1,08,06,42,033",1223.0
4923,Canada,1985,female,55-74 years,166,2092200,7.93,G.I. Generation,"3,64,75,64,99,451",15522.0
4922,Canada,1985,female,35-54 years,255,3025600,8.43,Silent,"3,64,75,64,99,451",15522.0
15812,Malta,1985,male,15-24 years,1,24200,4.13,Generation X,"1,11,78,35,286",3639.0
15811,Malta,1985,male,55-74 years,1,21600,4.63,G.I. Generation,"1,11,78,35,286",3639.0
4921,Canada,1985,male,15-24 years,560,2224600,25.17,Generation X,"3,64,75,64,99,451",15522.0
4920,Canada,1985,male,35-54 years,774,3046800,25.4,Silent,"3,64,75,64,99,451",15522.0
4919,Canada,1985,male,25-34 years,605,2240500,27.0,Boomers,"3,64,75,64,99,451",15522.0
4918,Canada,1985,male,55-74 years,502,1841000,27.27,G.I. Generation,"3,64,75,64,99,451",15522.0
4917,Canada,1985,male,75+ years,111,390200,28.45,G.I. Generation,"3,64,75,64,99,451",15522.0
4556,Bulgaria,1985,female,5-14 years,2,632800,0.32,Generation X,"17,15,54,21,053",2044.0
4555,Bulgaria,1985,male,5-14 years,11,667800,1.65,Generation X,"17,15,54,21,053",2044.0
15316,Luxembourg,1985,female,15-24 years,1,27800,3.6,Generation X,"4,73,85,59,685",13743.0
5267,Chile,1985,male,35-54 years,174,1201800,14.48,Silent,"17,70,28,85,394",1658.0
5268,Chile,1985,male,25-34 years,122,962600,12.67,Boomers,"17,70,28,85,394",1658.0
5269,Chile,1985,male,15-24 years,133,1239900,10.73,Generation X,"17,70,28,85,394",1658.0
5270,Chile,1985,female,55-74 years,21,633700,3.31,G.I. Generation,"17,70,28,85,394",1658.0
1427,Australia,1985,male,75+ years,67,219000,30.59,G.I. Generation,"1,80,19,09,94,861",12374.0
1428,Australia,1985,male,25-34 years,357,1299100,27.48,Boomers,"1,80,19,09,94,861",12374.0
